rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,LAI Gia Thanh,VIE,"May 03, 1998",54.95,A,112,116,-119,116,55kgMen,Snatch,447,False
2,MIRZAYEV Seyitjan,TKM,"Apr 30, 1994",54.85,A,105,106,-111,106,55kgMen,Snatch,447,False
3,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",55.00,A,105,-110,-110,105,55kgMen,Snatch,447,False
4,LE Nguyen Quoc Bao,VIE,"Jan 01, 2000",54.35,A,98,-103,-106,98,55kgMen,Snatch,447,False
1,LAI Gia Thanh,VIE,"May 03, 1998",54.95,A,141,145,---,145,55kgMen,CleanJerk,447,False
2,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",55.00,A,132,140,-144,140,55kgMen,CleanJerk,447,False
3,MIRZAYEV Seyitjan,TKM,"Apr 30, 1994",54.85,A,125,-132,-132,125,55kgMen,CleanJerk,447,False
---,LE Nguyen Quoc Bao,VIE,"Jan 01, 2000",54.35,A,-122,-122,-122,---,55kgMen,CleanJerk,447,False
1,LAI Gia Thanh,VIE,"May 03, 1998",54.95,A,116,145,261,,55kgMen,Total,447,False
2,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",55.00,A,105,140,245,,55kgMen,Total,447,False
3,MIRZAYEV Seyitjan,TKM,"Apr 30, 1994",54.85,A,106,125,231,,55kgMen,Total,447,False
---,LE Nguyen Quoc Bao,VIE,"Jan 01, 2000",54.35,A,98,---,---,,55kgMen,Total,447,False
1,LI Fabin,CHN,"Jan 15, 1993",60.75,A,137,141,-145,141,61kgMen,Snatch,447,False
2,IRAWAN Eko Yuli,INA,"Jul 24, 1989",60.95,A,136,-139,-140,136,61kgMen,Snatch,447,False
3,THACH Kim Tuan,VIE,"Jan 15, 1994",61.00,A,-133,-135,135,135,61kgMen,Snatch,447,False
4,WANG Hao,CHN,"Aug 16, 1998",60.10,A,130,-135,-138,130,61kgMen,Snatch,447,False
5,KAO Chan-Hung,TPE,"Oct 03, 1993",60.95,B,122,-125,-125,122,61kgMen,Snatch,447,False
6,OM Yun Chol,PRK,"Nov 18, 1991",58.70,A,120,-125,-125,120,61kgMen,Snatch,447,False
7,TAN Chi Chung,TPE,"Feb 24, 1990",60.65,B,-115,-115,115,115,61kgMen,Snatch,447,False
8,GARCIA BRITO Luis Alberto,DOM,"Apr 19, 1995",60.70,B,113,-117,-117,113,61kgMen,Snatch,447,False
9,KIM Young-Ho,KOR,"Oct 09, 1996",58.30,B,100,-105,-105,100,61kgMen,Snatch,447,False
---,VAZQUEZ MENDEZ Antonio,MEX,"Aug 12, 1993",60.95,A,-110,-110,-110,---,61kgMen,Snatch,447,False
1,OM Yun Chol,PRK,"Nov 18, 1991",58.70,A,155,161,-165,161,61kgMen,CleanJerk,447,False
2,IRAWAN Eko Yuli,INA,"Jul 24, 1989",60.95,A,-161,161,-166,161,61kgMen,CleanJerk,447,False
3,THACH Kim Tuan,VIE,"Jan 15, 1994",61.00,A,-160,-160,160,160,61kgMen,CleanJerk,447,False
4,WANG Hao,CHN,"Aug 16, 1998",60.10,A,-151,151,156,156,61kgMen,CleanJerk,447,False
5,KAO Chan-Hung,TPE,"Oct 03, 1993",60.95,B,-150,-151,151,151,61kgMen,CleanJerk,447,False
6,TAN Chi Chung,TPE,"Feb 24, 1990",60.65,B,-145,145,150,150,61kgMen,CleanJerk,447,False
7,VAZQUEZ MENDEZ Antonio,MEX,"Aug 12, 1993",60.95,A,150,-160,-162,150,61kgMen,CleanJerk,447,False
8,GARCIA BRITO Luis Alberto,DOM,"Apr 19, 1995",60.70,B,-140,140,147,147,61kgMen,CleanJerk,447,False
9,KIM Young-Ho,KOR,"Oct 09, 1996",58.30,B,120,125,130,130,61kgMen,CleanJerk,447,False
---,LI Fabin,CHN,"Jan 15, 1993",60.75,A,---,---,---,---,61kgMen,CleanJerk,447,False
1,IRAWAN Eko Yuli,INA,"Jul 24, 1989",60.95,A,136,161,297,,61kgMen,Total,447,False
2,THACH Kim Tuan,VIE,"Jan 15, 1994",61.00,A,135,160,295,,61kgMen,Total,447,False
3,WANG Hao,CHN,"Aug 16, 1998",60.10,A,130,156,286,,61kgMen,Total,447,False
4,OM Yun Chol,PRK,"Nov 18, 1991",58.70,A,120,161,281,,61kgMen,Total,447,False
5,KAO Chan-Hung,TPE,"Oct 03, 1993",60.95,B,122,151,273,,61kgMen,Total,447,False
6,TAN Chi Chung,TPE,"Feb 24, 1990",60.65,B,115,150,265,,61kgMen,Total,447,False
7,GARCIA BRITO Luis Alberto,DOM,"Apr 19, 1995",60.70,B,113,147,260,,61kgMen,Total,447,False
8,KIM Young-Ho,KOR,"Oct 09, 1996",58.30,B,100,130,230,,61kgMen,Total,447,False
---,VAZQUEZ MENDEZ Antonio,MEX,"Aug 12, 1993",60.95,A,---,150,---,,61kgMen,Total,447,False
---,LI Fabin,CHN,"Jan 15, 1993",60.75,A,141,---,---,,61kgMen,Total,447,False
1,HUANG Minhao,CHN,"Aug 21, 1992",67.00,A,-148,148,-154,148,67kgMen,Snatch,447,False
2,PAK Jong Ju,PRK,"Mar 14, 1997",66.70,A,138,141,-143,141,67kgMen,Snatch,447,False
3,DENI,INA,"Jul 26, 1989",66.85,A,135,-140,-140,135,67kgMen,Snatch,447,False
4,RASHIDOV Bunyad,TKM,"Mar 05, 2000",65.20,A,125,129,-131,129,67kgMen,Snatch,447,False
---,HORST Jacob Christian,USA,"Jul 15, 1997",67.00,A,-125,-125,-125,---,67kgMen,Snatch,447,False
1,PAK Jong Ju,PRK,"Mar 14, 1997",66.70,A,174,-177,177,177,67kgMen,CleanJerk,447,False
2,DENI,INA,"Jul 26, 1989",66.85,A,165,170,-175,170,67kgMen,CleanJerk,447,False
3,HUANG Minhao,CHN,"Aug 21, 1992",67.00,A,-166,-166,166,166,67kgMen,CleanJerk,447,False
4,HORST Jacob Christian,USA,"Jul 15, 1997",67.00,A,150,155,-160,155,67kgMen,CleanJerk,447,False
5,RASHIDOV Bunyad,TKM,"Mar 05, 2000",65.20,A,139,-145,145,145,67kgMen,CleanJerk,447,False
1,PAK Jong Ju,PRK,"Mar 14, 1997",66.70,A,141,177,318,,67kgMen,Total,447,False
2,HUANG Minhao,CHN,"Aug 21, 1992",67.00,A,148,166,314,,67kgMen,Total,447,False
3,DENI,INA,"Jul 26, 1989",66.85,A,135,170,305,,67kgMen,Total,447,False
4,RASHIDOV Bunyad,TKM,"Mar 05, 2000",65.20,A,129,145,274,,67kgMen,Total,447,False
---,HORST Jacob Christian,USA,"Jul 15, 1997",67.00,A,---,155,---,,67kgMen,Total,447,False
1,WEI Yinting,CHN,"Jan 07, 1998",72.40,A,155,160,162,162,73kgMen,Snatch,447,False
2,O Kang Chol,PRK,"Sep 16, 1993",72.90,A,145,150,152,152,73kgMen,Snatch,447,False
3,YUAN Chengfei,CHN,"Jul 14, 1995",72.95,A,151,-156,-156,151,73kgMen,Snatch,447,False
4,RI Chong Song,PRK,"May 31, 1997",72.90,A,-150,150,-155,150,73kgMen,Snatch,447,False
5,TRIYATNO,INA,"Dec 20, 1987",72.65,A,140,-145,-145,140,73kgMen,Snatch,447,False
6,ALHUMAYD Mahmoud Mohammed S,KSA,"Sep 05, 1993",72.65,A,140,-145,-145,140,73kgMen,Snatch,447,False
7,ALDUHAYLIB Mohsen Hussain A,KSA,"May 01, 1994",72.95,A,-125,-126,126,126,73kgMen,Snatch,447,False
1,WEI Yinting,CHN,"Jan 07, 1998",72.40,A,183,189,-196,189,73kgMen,CleanJerk,447,False
2,YUAN Chengfei,CHN,"Jul 14, 1995",72.95,A,-188,188,-197,188,73kgMen,CleanJerk,447,False
3,O Kang Chol,PRK,"Sep 16, 1993",72.90,A,182,-186,186,186,73kgMen,CleanJerk,447,False
4,RI Chong Song,PRK,"May 31, 1997",72.90,A,180,-185,185,185,73kgMen,CleanJerk,447,False
5,TRIYATNO,INA,"Dec 20, 1987",72.65,A,-180,180,-185,180,73kgMen,CleanJerk,447,False
6,ALHUMAYD Mahmoud Mohammed S,KSA,"Sep 05, 1993",72.65,A,170,-181,-181,170,73kgMen,CleanJerk,447,False
---,ALDUHAYLIB Mohsen Hussain A,KSA,"May 01, 1994",72.95,A,-155,-155,-155,---,73kgMen,CleanJerk,447,False
1,WEI Yinting,CHN,"Jan 07, 1998",72.40,A,162,189,351,,73kgMen,Total,447,False
2,YUAN Chengfei,CHN,"Jul 14, 1995",72.95,A,151,188,339,,73kgMen,Total,447,False
3,O Kang Chol,PRK,"Sep 16, 1993",72.90,A,152,186,338,,73kgMen,Total,447,False
4,RI Chong Song,PRK,"May 31, 1997",72.90,A,150,185,335,,73kgMen,Total,447,False
5,TRIYATNO,INA,"Dec 20, 1987",72.65,A,140,180,320,,73kgMen,Total,447,False
6,ALHUMAYD Mahmoud Mohammed S,KSA,"Sep 05, 1993",72.65,A,140,170,310,,73kgMen,Total,447,False
---,ALDUHAYLIB Mohsen Hussain A,KSA,"May 01, 1994",72.95,A,126,---,---,,73kgMen,Total,447,False
1,LI Dayin,CHN,"Feb 12, 1998",80.90,A,163,-168,171,171,81kgMen,Snatch,447,False
2,JIANG Bin,CHN,"May 15, 1996",78.10,A,155,-160,-160,155,81kgMen,Snatch,447,False
3,PIZZOLATO Antonino,ITA,"Aug 20, 1996",81.00,A,-153,153,-156,153,81kgMen,Snatch,447,False
4,CHOE Jon Wi,PRK,"Jun 29, 1993",80.25,A,-153,-153,153,153,81kgMen,Snatch,447,False
5,KASAI Takehiro,JPN,"Nov 12, 1993",80.90,A,140,-145,145,145,81kgMen,Snatch,447,False
6,DOVRANOV Muhammet,TKM,"May 09, 1996",81.00,A,135,141,-145,141,81kgMen,Snatch,447,False
7,PARK Minho,KOR,"May 25, 1996",80.50,A,-140,140,-146,140,81kgMen,Snatch,447,False
8,ANNABERDIYEV Rustem,TKM,"Apr 18, 1999",80.65,A,135,139,-142,139,81kgMen,Snatch,447,False
1,LI Dayin,CHN,"Feb 12, 1998",80.90,A,195,200,204,204,81kgMen,CleanJerk,447,False
2,CHOE Jon Wi,PRK,"Jun 29, 1993",80.25,A,185,193,197,197,81kgMen,CleanJerk,447,False
3,PIZZOLATO Antonino,ITA,"Aug 20, 1996",81.00,A,190,196,-199,196,81kgMen,CleanJerk,447,False
4,JIANG Bin,CHN,"May 15, 1996",78.10,A,-185,185,190,190,81kgMen,CleanJerk,447,False
5,KASAI Takehiro,JPN,"Nov 12, 1993",80.90,A,178,-184,184,184,81kgMen,CleanJerk,447,False
6,PARK Minho,KOR,"May 25, 1996",80.50,A,-180,180,-186,180,81kgMen,CleanJerk,447,False
7,DOVRANOV Muhammet,TKM,"May 09, 1996",81.00,A,170,-179,180,180,81kgMen,CleanJerk,447,False
8,ANNABERDIYEV Rustem,TKM,"Apr 18, 1999",80.65,A,163,171,-175,171,81kgMen,CleanJerk,447,False
1,LI Dayin,CHN,"Feb 12, 1998",80.90,A,171,204,375,,81kgMen,Total,447,False
2,CHOE Jon Wi,PRK,"Jun 29, 1993",80.25,A,153,197,350,,81kgMen,Total,447,False
3,PIZZOLATO Antonino,ITA,"Aug 20, 1996",81.00,A,153,196,349,,81kgMen,Total,447,False
4,JIANG Bin,CHN,"May 15, 1996",78.10,A,155,190,345,,81kgMen,Total,447,False
5,KASAI Takehiro,JPN,"Nov 12, 1993",80.90,A,145,184,329,,81kgMen,Total,447,False
6,DOVRANOV Muhammet,TKM,"May 09, 1996",81.00,A,141,180,321,,81kgMen,Total,447,False
7,PARK Minho,KOR,"May 25, 1996",80.50,A,140,180,320,,81kgMen,Total,447,False
8,ANNABERDIYEV Rustem,TKM,"Apr 18, 1999",80.65,A,139,171,310,,81kgMen,Total,447,False
1,YU Dongju,KOR,"Aug 19, 1993",88.75,A,150,160,-167,160,89kgMen,Snatch,447,False
1,YU Dongju,KOR,"Aug 19, 1993",88.75,A,190,200,-205,200,89kgMen,CleanJerk,447,False
1,YU Dongju,KOR,"Aug 19, 1993",88.75,A,160,200,360,,89kgMen,Total,447,False
1,KLIMONOV Egor,RUS,"Aug 24, 1992",95.90,A,158,162,165,165,96kgMen,Snatch,447,False
2,TIAN Fuxuan,CHN,"Aug 16, 1993",95.90,A,-160,161,-166,161,96kgMen,Snatch,447,False
3,YAMAMOTO Toshiki,JPN,"Sep 08, 1991",92.60,A,150,-160,-160,150,96kgMen,Snatch,447,False
1,KLIMONOV Egor,RUS,"Aug 24, 1992",95.90,A,200,206,211,211,96kgMen,CleanJerk,447,False
2,TIAN Fuxuan,CHN,"Aug 16, 1993",95.90,A,205,-211,-212,205,96kgMen,CleanJerk,447,False
3,YAMAMOTO Toshiki,JPN,"Sep 08, 1991",92.60,A,190,-201,201,201,96kgMen,CleanJerk,447,False
1,KLIMONOV Egor,RUS,"Aug 24, 1992",95.90,A,165,211,376,,96kgMen,Total,447,False
2,TIAN Fuxuan,CHN,"Aug 16, 1993",95.90,A,161,205,366,,96kgMen,Total,447,False
3,YAMAMOTO Toshiki,JPN,"Sep 08, 1991",92.60,A,150,201,351,,96kgMen,Total,447,False
1,YANG Zhe,CHN,"Jul 14, 1991",108.40,A,180,186,193,193,109kgMen,Snatch,447,False
2,BOCHKOV Rodion,RUS,"Sep 27, 1993",109.00,A,175,181,-185,181,109kgMen,Snatch,447,False
3,MOCHIDA Ryunosuke,JPN,"Jun 18, 1993",108.55,A,155,-160,-163,155,109kgMen,Snatch,447,False
1,YANG Zhe,CHN,"Jul 14, 1991",108.40,A,205,215,---,215,109kgMen,CleanJerk,447,False
2,MOCHIDA Ryunosuke,JPN,"Jun 18, 1993",108.55,A,190,200,210,210,109kgMen,CleanJerk,447,False
3,BOCHKOV Rodion,RUS,"Sep 27, 1993",109.00,A,200,---,---,200,109kgMen,CleanJerk,447,False
1,YANG Zhe,CHN,"Jul 14, 1991",108.40,A,193,215,408,,109kgMen,Total,447,False
2,BOCHKOV Rodion,RUS,"Sep 27, 1993",109.00,A,181,200,381,,109kgMen,Total,447,False
3,MOCHIDA Ryunosuke,JPN,"Jun 18, 1993",108.55,A,155,210,365,,109kgMen,Total,447,False
1,AI Yunan,CHN,"Jun 21, 1991",151.50,A,170,178,183,183,+109kgMen,Snatch,447,False
2,HAM Sang Il,KOR,"Aug 25, 1989",141.10,A,166,171,177,177,+109kgMen,Snatch,447,False
3,HSIEH Yun-Ting,TPE,"Aug 08, 1999",128.85,A,165,-175,175,175,+109kgMen,Snatch,447,False
4,MANRIQUEZ COLLINS Raul Enrique,MEX,"Apr 09, 1997",183.50,A,-155,155,-165,155,+109kgMen,Snatch,447,False
1,AI Yunan,CHN,"Jun 21, 1991",151.50,A,220,230,---,230,+109kgMen,CleanJerk,447,False
2,HAM Sang Il,KOR,"Aug 25, 1989",141.10,A,202,210,---,210,+109kgMen,CleanJerk,447,False
3,MANRIQUEZ COLLINS Raul Enrique,MEX,"Apr 09, 1997",183.50,A,195,202,-215,202,+109kgMen,CleanJerk,447,False
4,HSIEH Yun-Ting,TPE,"Aug 08, 1999",128.85,A,191,201,-215,201,+109kgMen,CleanJerk,447,False
1,AI Yunan,CHN,"Jun 21, 1991",151.50,A,183,230,413,,+109kgMen,Total,447,False
2,HAM Sang Il,KOR,"Aug 25, 1989",141.10,A,177,210,387,,+109kgMen,Total,447,False
3,HSIEH Yun-Ting,TPE,"Aug 08, 1999",128.85,A,175,201,376,,+109kgMen,Total,447,False
4,MANRIQUEZ COLLINS Raul Enrique,MEX,"Apr 09, 1997",183.50,A,155,202,357,,+109kgMen,Total,447,False
1,KHONG My Phuong,VIE,"Jul 05, 1999",44.80,A,66,72,-76,72,45kgWomen,Snatch,447,False
2,VUONG Thi Huyen,VIE,"Jun 22, 1992",44.90,A,-72,72,-76,72,45kgWomen,Snatch,447,False
3,NAVARRO MEJIA Maria Alejandra,NCA,"Jul 03, 1998",44.30,A,53,-58,58,58,45kgWomen,Snatch,447,False
1,VUONG Thi Huyen,VIE,"Jun 22, 1992",44.90,A,90,95,98,98,45kgWomen,CleanJerk,447,False
2,KHONG My Phuong,VIE,"Jul 05, 1999",44.80,A,76,82,85,85,45kgWomen,CleanJerk,447,False
3,NAVARRO MEJIA Maria Alejandra,NCA,"Jul 03, 1998",44.30,A,70,-76,-76,70,45kgWomen,CleanJerk,447,False
1,VUONG Thi Huyen,VIE,"Jun 22, 1992",44.90,A,72,98,170,,45kgWomen,Total,447,False
2,KHONG My Phuong,VIE,"Jul 05, 1999",44.80,A,72,85,157,,45kgWomen,Total,447,False
