total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,DANIELS Lamees,12922,2000-11-14,W,RSA,A,109.6,+75 kg Women,0,1,329,70,75,77,77,92,97,-100,97,174
2,2,2,DJIFACK MA-ATEMKEN ZOMGOUA Rayssa,11341,1998-08-01,W,CMR,A,79.04,+75 kg Women,0,1,329,-71,72,76,76,86,94,-97,94,170
3,3,3,GUAICH Khadija,9521,1996-03-29,W,MAR,A,96.11,+75 kg Women,0,1,329,42,47,-52,47,55,-65,65,65,112
1,1,1,ALDUROUQI Abdulhamid,9915,1996-10-20,M,LBA,A,96.65,105 kg Men,0,1,329,80,90,-100,90,105,110,112,112,202
1,1,1,RATSIRAVOLATIANA Malalaniaina,11554,1998-11-15,W,MAD,A,46.55,48 kg Women,0,1,329,50,-58,-58,50,-60,60,70,70,120
2,2,2,KANOUNI Oumaima,12669,2000-07-01,W,MAR,A,47.09,48 kg Women,0,1,329,36,40,-44,40,45,50,-53,50,90
3,3,3,SOULMABA MAZOM Colette,12490,2000-03-22,W,CMR,A,47.83,48 kg Women,0,1,329,35,39,-43,39,45,-52,-53,45,84
1,1,1,KARIM Youssra,10277,1997-03-26,W,MAR,A,52.72,53 kg Women,0,1,329,-50,50,57,57,65,-73,-75,65,122
1,1,2,HARFI Issam,10810,1997-12-02,M,MAR,A,54.53,56 kg Men,0,1,329,75,80,-84,80,95,-100,-101,95,175
2,4,1,HABOUBAKAR Siddiki,12087,1999-08-14,M,CMR,A,55.43,56 kg Men,0,1,329,65,-70,-72,65,95,-100,101,101,166
3,2,3,ENRIQUE Christians,12926,2000-11-17,M,RSA,A,48.81,56 kg Men,0,1,329,65,70,-72,70,85,90,-93,90,160
NA,3,NA,ENOH ENOH James,10440,1997-06-06,M,CMR,A,55.68,56 kg Men,0,1,329,70,-77,-80,70,-100,NA,NA,NA,NA
1,1,1,JERNANE Soukaina,12345,2000-01-08,W,MAR,A,55.36,58 kg Women,0,1,329,50,55,-60,55,55,65,-70,65,120
NA,2,NA,OKOTH Natasha Wandere,10463,1997-06-16,W,KEN,A,57.53,58 kg Women,0,1,329,27,-30,-30,27,-35,-35,-35,NA,NA
NA,NA,NA,OKONGO Courtney,9249,1995-11-22,W,KEN,A,54.43,58 kg Women,0,1,329,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,KAWOOYA Huzaif,8627,1995-01-07,M,UGA,A,61.23,62 kg Men,0,1,329,80,85,-87,85,100,105,-110,105,190
2,2,1,LOUIZAT Achraf,10004,1996-12-11,M,MAR,A,60.31,62 kg Men,0,1,329,70,-80,-82,70,95,101,105,105,175
3,3,3,KYAMBADDE Faluku Figo,9818,1996-08-28,M,UGA,A,59.59,62 kg Men,0,1,329,-65,65,-70,65,80,87,90,90,155
1,1,1,KASUUBO Irene,10638,1997-09-05,W,UGA,A,60.4,63 kg Women,0,1,329,56,61,-65,61,75,81,-83,81,142
2,2,3,NY ANJARA FITIAVANA Julie Tatianah,11622,1998-12-28,W,MAD,A,60.6,63 kg Women,0,1,329,54,-58,60,60,65,-68,69,69,129
3,4,2,EYENGA MBOOSI Jeanne Gaelle,11689,1999-01-24,W,CMR,A,62.54,63 kg Women,0,1,329,47,52,56,56,63,67,71,71,127
4,3,4,EL MEDINI Soukaina,11550,1998-11-14,W,MAR,A,61.38,63 kg Women,0,1,329,52,58,-62,58,-61,61,-66,61,119
1,1,2,LONGO NJOH Antoine William,11039,1998-03-16,M,CMR,A,68.69,69 kg Men,0,1,329,105,110,-115,110,-125,-130,130,130,240
2,3,1,KOUIDER Chouaib,9974,1996-11-21,M,MAR,A,68.14,69 kg Men,0,1,329,100,-105,-106,100,130,-140,-140,130,230
3,2,3,SSEMPEREZA Hakim Musoke,8835,1995-04-10,M,UGA,A,66.85,69 kg Men,0,1,329,95,100,-105,100,-120,-120,120,120,220
NA,4,NA,MAKUMBI Benjamin,11975,1999-06-16,M,KEN,A,67.66,69 kg Men,0,1,329,75,-80,-80,75,-95,NA,NA,NA,NA
1,1,1,OUTOUNIFOU Fadwa,10537,1997-07-20,W,MAR,A,63.59,69 kg Women,0,1,329,45,50,-52,50,55,60,64,64,114
NA,NA,NA,BERGO Nkal,11191,1998-05-25,W,CMR,A,66.67,69 kg Women,0,1,329,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,CHARKANI Chaimaa,10272,1997-03-25,W,MAR,A,71.72,75 kg Women,0,1,329,-47,47,54,54,55,60,64,64,118
NA,NA,1,MATAM Madeleine Ornella,9209,1995-11-06,W,CMR,A,71.79,75 kg Women,0,1,329,-66,-71,-71,NA,80,87,-92,87,NA
1,2,1,NJOYA Ahmed Valdy,11735,1999-02-13,M,CMR,A,76.52,77 kg Men,0,1,329,110,115,-120,115,142,147,153,153,268
2,1,3,EYOUM Frederic,8961,1995-06-14,M,CMR,A,72.72,77 kg Men,0,1,329,115,120,125,125,-137,140,-145,140,265
3,3,2,HALBANE Abdelilah,9087,1995-08-21,M,MAR,A,74.64,77 kg Men,0,1,329,105,110,-115,110,135,-140,141,141,251
4,4,4,HALLAL Mustapha,9536,1996-04-05,M,MAR,A,70.41,77 kg Men,0,1,329,90,100,-105,100,105,117,125,125,225
5,5,5,BERNARDO Reinhardt Christiaan,9721,1996-07-02,M,RSA,A,75.04,77 kg Men,0,1,329,-100,100,-105,100,117,-122,-122,117,217
6,8,6,KASUMBA Semei,9891,1996-10-02,M,UGA,A,76.52,77 kg Men,0,1,329,-80,80,-85,80,105,110,-113,110,190
7,6,7,OTHIENO Geodfrey,12205,1999-10-23,M,KEN,A,71.3,77 kg Men,0,1,329,-75,75,82,82,97,102,-106,102,184
8,7,8,ABUZRIBA Ahmed Mustafa Ahmed,12532,2000-04-16,M,LBA,A,72.16,77 kg Men,0,1,329,75,80,-85,80,97,100,-105,100,180
1,1,1,MOUTHE A MOUTHE Ibrahim,9337,1996-01-02,M,CMR,A,84.51,85 kg Men,0,1,329,120,-125,127,127,147,152,156,156,283
2,2,3,EL AABIDI Khalid,9132,1995-09-14,M,MAR,A,77.31,85 kg Men,0,1,329,115,120,125,125,-150,150,-158,150,275
3,4,2,FEUGNO Cedric Patient,10507,1997-07-09,M,CMR,A,78.92,85 kg Men,0,1,329,-115,117,120,120,147,152,-156,152,272
4,3,5,ARMILAT Mehdi,10010,1996-12-13,M,MAR,A,84.37,85 kg Men,0,1,329,110,116,121,121,135,145,-149,145,266
5,5,4,GRAHAM Brandon,9681,1996-06-14,M,RSA,A,81.62,85 kg Men,0,1,329,115,120,-125,120,-145,145,-148,145,265
6,6,6,MAGANDA Sadi,11012,1998-03-03,M,UGA,A,82.01,85 kg Men,0,1,329,75,80,85,85,105,-110,110,110,195
1,1,1,TCHOUDEN TCHAMGOUE Jaures Verlaine,10602,1997-08-21,M,CMR,A,92.35,94 kg Men,0,1,329,-126,127,130,130,155,-162,165,165,295
2,2,2,LAGSIR Badr-Eddine,8867,1995-04-27,M,MAR,A,92.87,94 kg Men,0,1,329,120,-127,128,128,150,-160,-163,150,278
3,3,3,ALANANI Elias Ehmida,8571,1995-01-01,M,LBA,A,85.56,94 kg Men,0,1,329,110,-115,115,115,-130,130,-135,130,245
4,4,4,KUBO Zubairi,8632,1995-01-10,M,UGA,A,91.93,94 kg Men,0,1,329,90,-95,-97,90,120,125,-127,125,215
