total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,WILKES Caine Morgan,4036,1987-07-10,M,USA,A,144.7,+109 kg Men,0,0,507,172,180,-187,180,205,215,225,225,405
2,3,2,HSIEH Yun-Ting,12072,1999-08-08,M,TPE,A,127.32,+109 kg Men,0,0,507,150,160,-170,160,200,210,-221,210,370
3,2,3,MARTIROSJAN Sargis,3707,1986-09-14,M,AUT,A,113.56,+109 kg Men,0,0,507,170,175,-176,175,190,-191,-191,190,365
1,1,2,ROBLES Sarah Elizabeth,4494,1988-08-01,W,USA,A,145.77,+87 kg Women,0,0,507,117,121,125,125,150,155,-160,155,280
2,2,1,THEISEN-LAPPEN Mary,5634,1990-11-02,W,USA,A,132.8,+87 kg Women,0,0,507,106,-110,-110,106,148,156,-163,156,262
3,4,3,SALIM MOUSSA Arzy Zahia,8381,1994-09-11,W,CUR,A,103.31,+87 kg Women,0,0,507,65,70,-73,70,-85,-85,85,85,155
NA,3,NA,MANUMUA Kuinini Juanita Mechteld,12956,2000-12-12,W,TGA,A,105.58,+87 kg Women,0,0,507,88,91,-93,91,NA,NA,NA,NA,NA
1,1,1,TAATGEN Mike,8066,1994-04-06,M,CUR,A,100.32,102 kg Men,0,0,507,-85,-85,85,85,125,130,-143,130,215
1,1,1,LYDEMENT Matthew Ryan,7889,1994-01-15,M,AUS,A,108.34,109 kg Men,0,0,507,145,152,-158,152,175,180,-185,180,332
2,2,2,JUNGBLUT Tanumafili Malietoa,5458,1990-06-10,M,ASA,A,108.22,109 kg Men,0,0,507,135,140,146,146,176,177,-186,177,323
3,3,3,ROSINDA Reynard,13616,2001-12-17,M,CUR,A,107.7,109 kg Men,0,0,507,85,95,105,105,-110,110,115,115,220
4,4,4,ELEONORA Teshawn,14268,2003-03-17,M,CUR,A,104.94,109 kg Men,0,0,507,75,80,-85,80,-85,85,-90,85,165
1,1,1,FANG Wan-Ling,12273,1999-12-01,W,TPE,A,48.81,49 kg Women,0,0,507,78,82,85,85,100,104,-107,104,189
2,2,2,BRADDOCK Amanda Melissa,4775,1989-02-10,W,CAN,A,48.65,49 kg Women,0,0,507,77,-80,-80,77,94,98,-101,98,175
1,1,1,CHIANG Nien-Hsin,10354,1997-04-29,W,TPE,A,54.98,55 kg Women,0,0,507,75,78,-81,78,-100,100,-103,100,178
2,2,2,SUMAGAYSAY Jacinta Irene Untalan,5583,1990-09-12,W,GUM,A,54.7,55 kg Women,0,0,507,60,-65,-65,60,-85,-85,85,85,145
3,3,3,CALLENDAR Cicely,1052,1978-01-20,W,BAR,A,54.19,55 kg Women,0,0,507,43,45,-48,45,60,63,-66,63,108
1,1,1,SAXON Jessica Marie,4660,1988-12-08,W,USA,A,58.53,59 kg Women,0,0,507,77,80,-83,80,103,107,-110,107,187
2,2,2,CHANDERBAN Krystol Mivani,10843,1997-12-19,W,GUY,A,57.9,59 kg Women,0,0,507,-55,55,58,58,70,-73,73,73,131
1,1,1,SASSER Mathlynn Langtor,10032,1996-12-25,W,USA,A,63.95,64 kg Women,0,0,507,93,96,NA,96,120,124,NA,124,220
2,2,2,CHEN Wen-Huei,10192,1997-02-23,W,TPE,A,63.9,64 kg Women,0,0,507,89,-94,94,94,118,-124,124,124,218
3,3,3,MAURICIO Tara,2648,1983-10-14,W,CUR,A,70.19,64 kg Women,0,0,507,42,45,-47,45,-55,55,-63,55,100
NA,NA,NA,LUCERO Jessica Marie,5055,1989-09-26,W,USA,A,62.6,64 kg Women,0,0,507,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,GRIMSLAND Ryan,13818,2002-04-03,M,USA,A,66.92,67 kg Men,0,0,507,115,121,-126,121,150,156,-160,156,277
2,2,2,MOLENAAR Yhurisen,2193,1982-05-12,M,CUR,A,66.77,67 kg Men,0,0,507,67,70,75,75,-85,85,-90,85,160
1,1,1,REEVES Olivia Lynn,14311,2003-04-19,W,USA,A,70.75,71 kg Women,0,0,507,-90,90,94,94,113,-117,121,121,215
2,2,2,TSCHUMIE Jennifer,10831,1997-12-11,W,CUR,A,70.19,71 kg Women,0,0,507,43,46,-50,46,58,63,-68,63,109
1,1,1,RALPH Jantji,2140,1982-03-09,M,CUR,A,71.87,73 kg Men,0,0,507,78,-82,-82,78,100,-105,-106,100,178
1,2,1,ALWINE Meredith Leigh,11227,1998-06-08,W,USA,A,71.49,76 kg Women,0,0,507,96,99,101,101,121,126,132,132,233
2,1,2,MUNKHJANTSAN Ankhtsetseg,10852,1997-12-25,W,MGL,A,75.92,76 kg Women,0,0,507,98,110,103,103,126,129,NA,129,232
3,3,3,CUPID Rayen Selina Solaire,3315,1985-09-17,W,VIN,A,75.01,76 kg Women,0,0,507,-84,85,88,88,100,104,-109,104,192
4,4,4,GEERMAN Nataly,11259,1998-06-24,W,ARU,A,72.85,76 kg Women,0,0,507,-75,-75,75,75,103,108,-112,108,183
1,1,1,WOHLERS Tiffany,5856,1991-03-19,W,USA,A,78.18,81 kg Women,0,0,507,91,-94,-94,91,112,116,-120,116,207
2,2,2,OWENS Avery Elizabeth,13666,2002-01-18,W,USA,A,80.77,81 kg Women,0,0,507,85,88,90,90,112,-116,-116,112,202
1,1,1,ARTHUR Jenny Lyvette,7779,1993-12-11,W,USA,A,85.18,87 kg Women,0,0,507,104,107,-110,107,135,140,NA,140,247
2,2,2,ROGERS Martha,9095,1995-08-23,W,USA,A,81.69,87 kg Women,0,0,507,103,105,-107,105,128,131,NA,131,236
3,3,3,RIOTTO Juliana Rose,11335,1998-07-29,W,USA,A,86.77,87 kg Women,0,0,507,95,98,100,100,120,124,127,127,227
4,4,4,ANDREWS-NAHU Kanah Shenelle,13047,2001-01-18,W,NZL,A,84.9,87 kg Women,0,0,507,92,96,-101,96,110,114,119,119,215
5,5,5,ERDENEBAT Bilegsaikhan,11431,1998-09-16,W,MGL,A,86.59,87 kg Women,0,0,507,88,-91,91,91,111,114,117,117,208
6,6,6,WILKES Emily Parker,6687,1992-07-22,W,USA,A,86.29,87 kg Women,0,0,507,89,-93,-93,89,110,-114,-115,110,199
7,7,7,LO Ying-Yuan,9599,1996-05-07,W,TPE,A,86.95,87 kg Women,0,0,507,70,75,-80,75,80,85,NA,85,160
1,1,1,ARAQUE Laertes,14241,2003-02-17,M,ARU,A,85.83,89 kg Men,0,0,507,99,-103,103,103,130,-140,143,143,246
1,1,1,LAWGUN Isaac Charlie Ng,12585,2000-05-16,M,NZL,A,94.67,96 kg Men,0,0,507,-135,135,-140,135,162,-170,-171,162,297
2,3,2,GRIFFITH Daniel,8548,1994-12-16,M,BAR,A,89.55,96 kg Men,0,0,507,108,-112,112,112,-143,143,-148,143,255
NA,2,NA,MCCULLOUGH Morgan Dylan,14421,2003-08-12,M,USA,A,95.48,96 kg Men,0,0,507,130,-135,-135,130,-180,-182,-190,NA,NA
