total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,HERNANDEZ CASTILLO Daniela,9606,1996-05-09,W,COL,A,73,+69 kg Women,0,1,233,80,85,86,86,99,-102,-102,99,185
2,3,2,SALAZAR ARCE Tamara Yajaira,10575,1997-08-09,W,ECU,A,69.78,+69 kg Women,0,1,233,68,72,-75,72,92,-96,-96,92,164
3,5,3,SILVIA Aillapan,9028,1995-07-19,W,CHI,A,90.68,+69 kg Women,0,1,233,-65,65,-68,65,88,-92,-92,88,153
4,4,4,ANDALEN Sepulveda,9914,1996-10-19,W,CHI,A,70.86,+69 kg Women,0,1,233,64,-68,68,68,77,81,-81,81,149
NA,2,NA,PINTO Angela,8951,1995-06-10,W,VEN,A,77.2,+69 kg Women,0,1,233,79,84,86,86,-100,-100,-100,NA,NA
1,1,1,HERRERA MENDOZA Cesar,9045,1995-07-27,M,MEX,A,98.6,+94 kg Men,0,1,233,118,-123,-123,118,148,NA,NA,148,266
2,2,3,CARABALI QUINTERO Milton Elias,9141,1995-09-20,M,ECU,A,114.3,+94 kg Men,0,1,233,110,-116,118,118,131,141,145,145,263
3,3,2,SEBASTIAN Rodriguez,8682,1995-02-03,M,COL,A,98.68,+94 kg Men,0,1,233,113,-116,-118,113,-142,143,146,146,259
4,4,4,LUCAS Mellado,8715,1995-02-17,M,CHI,A,95.26,+94 kg Men,0,1,233,92,97,101,101,120,126,130,130,231
5,5,5,PABLO Nunez,9191,1995-10-19,M,CHI,A,99.1,+94 kg Men,0,1,233,94,98,-102,98,-130,-130,130,130,228
6,6,6,ROGER Callisaya,8630,1995-01-08,M,BOL,A,105.88,+94 kg Men,0,1,233,45,-50,-50,45,60,-70,-70,60,105
1,2,1,LARA RAMIREZ Guadalupe,11042,1998-03-16,W,MEX,A,43,44 kg Women,0,1,233,-49,-53,53,53,66,69,70,70,123
2,1,2,PRADO GUILLEN Maira Alejandra,10275,1997-03-25,W,VEN,A,42.55,44 kg Women,0,1,233,43,52,54,54,60,65,67,67,121
3,4,3,ROSA FIGUEIREDO Emily,11047,1998-03-18,W,BRA,A,44,44 kg Women,0,1,233,42,-46,-48,42,57,59,-60,59,101
4,5,4,MILAGROS Guerra,11640,1999-01-01,W,PER,A,43.2,44 kg Women,0,1,233,32,35,-37,35,40,43,45,45,80
NA,3,NA,CHAN ALVAREZ Rosa Maria,10374,1997-05-10,W,MEX,A,44,44 kg Women,0,1,233,49,53,-53,53,-65,-66,-66,NA,NA
1,1,1,HINESTROZA RUIZ Yiliana,11759,1999-02-23,W,COL,A,47.4,48 kg Women,0,1,233,63,-70,70,70,-85,85,-90,85,155
2,2,2,MUNOZ LOPEZ Viviana Izamar,9215,1995-11-10,W,MEX,A,47.9,48 kg Women,0,1,233,60,-64,-64,60,75,-85,-86,75,135
3,3,4,JAZMIN Silva,9332,1996-01-01,W,CHI,A,47.65,48 kg Women,0,1,233,55,58,-61,58,68,-72,72,72,130
4,4,6,GONZALEZ CONTRERAS Azucena Abigail,10351,1997-04-26,W,GUA,A,47.3,48 kg Women,0,1,233,54,-56,-56,54,-66,66,70,70,124
5,6,7,CURI HUARCA Cindy Lisbeth,9567,1996-04-18,W,PER,A,47.35,48 kg Women,0,1,233,47,50,-52,50,68,70,-72,70,120
6,7,5,CUEVA URIBE Fiorella Francesca,10954,1998-02-04,W,PER,A,46.35,48 kg Women,0,1,233,46,-50,-50,46,66,-69,70,70,116
7,5,8,ROSA FIGUEIREDO Nathasha,9375,1996-01-16,W,BRA,A,46.75,48 kg Women,0,1,233,50,-55,-58,50,60,-66,-66,60,110
NA,NA,3,BENAVIDES ZAMBRANO Maria Del Cisne,9539,1996-04-06,W,ECU,A,45.45,48 kg Women,0,1,233,-57,-57,-57,NA,68,-71,73,73,NA
1,1,1,GOMEZ Pablo,8586,1995-01-01,M,ECU,A,49,50 kg Men,0,1,233,79,-82,-82,79,101,103,110,110,189
