total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,2,SHARIFIKELARIJANI Ayat,12947,2000-12-05,M,IRI,A,140,+109 kg Men,0,0,506,157,165,170,170,192,202,-210,202,372
2,3,1,HASSANPOUR Feremi Reza,13113,2001-02-14,M,IRI,A,131.1,+109 kg Men,0,0,506,153,161,-164,161,195,-203,203,203,364
3,2,4,ALNAJJAR M Moayad,12430,2000-02-22,M,SYR,A,132.6,+109 kg Men,0,0,506,152,158,162,162,-191,191,-200,191,353
4,4,3,LEE Seungheon,13753,2002-03-07,M,KOR,A,131.95,+109 kg Men,0,0,506,150,155,-159,155,185,192,-199,192,347
5,5,5,HSU Chi-Chuan,13234,2001-04-16,M,TPE,A,111.95,+109 kg Men,0,0,506,-140,140,146,146,180,185,-187,185,331
6,6,6,ALRADHI Hassan Asaad M,13089,2001-02-03,M,KSA,A,125.2,+109 kg Men,0,0,506,130,137,-141,137,170,178,181,181,318
7,7,7,AL AHMAD Dawoud Bassam A,14224,2003-02-06,M,KSA,A,115.45,+109 kg Men,0,0,506,105,110,115,115,127,135,142,142,257
1,2,1,SANSYZBAYEVA Aisamal,14398,2003-07-08,W,KAZ,A,113.25,+87 kg Women,0,0,506,100,105,109,109,130,-138,140,140,249
2,1,2,LEE Seon Mi,12731,2000-08-01,W,KOR,A,118.75,+87 kg Women,0,0,506,102,108,110,110,120,NA,NA,120,230
1,1,1,BEKBOLAT Rakhat,14586,2004-01-14,M,KAZ,A,99.2,102 kg Men,0,0,506,148,153,158,158,188,198,-208,198,356
2,2,3,KHAKPOUR Abolfazl,12623,2000-06-05,M,IRI,A,101.55,102 kg Men,0,0,506,145,151,154,154,180,188,-193,188,342
3,3,5,KHOJIEV Azimjon,12924,2000-11-16,M,UZB,A,101.25,102 kg Men,0,0,506,143,147,152,152,181,-194,-194,181,333
4,6,2,LI Aleksandr,12820,2000-09-16,M,UZB,A,101.8,102 kg Men,0,0,506,134,140,-144,140,175,183,189,189,329
5,5,4,TUNG Ming-Chang,12725,2000-07-28,M,TPE,A,100.7,102 kg Men,0,0,506,135,141,-146,141,170,176,182,182,323
6,4,6,EMADI Hassan,14891,2004-12-15,M,IRI,A,100.4,102 kg Men,0,0,506,-137,137,146,146,165,175,-182,175,321
7,8,7,TSAI Ching-Hua,13216,2001-04-07,M,TPE,A,100.8,102 kg Men,0,0,506,130,135,-140,135,-165,165,171,171,306
8,7,8,KIM Kyunghwan,12676,2000-07-03,M,KOR,A,101.05,102 kg Men,0,0,506,135,-143,-144,135,-165,165,-176,165,300
9,9,9,PRADEEP Kumar Yadav,13145,2001-03-05,M,IND,A,101.3,102 kg Men,0,0,506,125,-130,130,130,155,162,-166,162,292
10,10,10,TALANTBEK UULU Adisbek,14180,2003-01-01,M,KGZ,A,96.75,102 kg Men,0,0,506,110,115,-120,115,135,142,150,150,265
1,1,1,HWANG Sangun,12806,2000-09-10,M,KOR,A,108.25,109 kg Men,0,0,506,160,NA,NA,160,196,NA,NA,196,356
2,2,2,LIN Sheng-Lun,12375,2000-01-22,M,TPE,A,108.3,109 kg Men,0,0,506,145,-150,154,154,185,190,-195,190,344
3,3,3,MIRZABAEV Mirkhosil,13874,2002-05-11,M,UZB,A,103.15,109 kg Men,0,0,506,146,153,-155,153,171,-179,180,180,333
4,4,4,AL HAMGAN Ahmed Radi,12658,2000-06-24,M,KSA,A,108.6,109 kg Men,0,0,506,127,133,-140,133,155,165,-173,165,298
5,5,5,RAKHMANOV Asadbek,14263,2003-03-09,M,UZB,A,108.1,109 kg Men,0,0,506,126,-131,-133,126,145,-154,-155,145,271
6,6,6,NURDINOV Bekzha,14556,2003-12-26,M,KGZ,A,102.65,109 kg Men,0,0,506,80,85,-90,85,95,100,105,105,190
1,2,1,NGUYEN Thi Thu Hoai,14636,2004-03-02,W,VIE,A,44.7,45 kg Women,0,0,506,-63,-63,63,63,80,83,86,86,149
2,1,2,KOLLI Varalakshmi Pavani Kumari,14257,2003-03-05,W,IND,A,44.75,45 kg Women,0,0,506,61,64,66,66,75,79,-82,79,145
3,3,3,GARUD Harshada Sharad,14516,2003-11-08,W,IND,A,44.95,45 kg Women,0,0,506,58,-62,62,62,73,77,-79,77,139
4,4,4,ABE Nozomi,14415,2003-08-01,W,JPN,A,44.75,45 kg Women,0,0,506,-57,57,60,60,70,74,-78,74,134
1,1,1,AISAH Windy Cantika,13924,2002-06-11,W,INA,A,48.75,49 kg Women,0,0,506,80,85,-87,85,100,-105,-106,100,185
2,2,2,LIN Cheng Jing,12368,2000-01-20,W,TPE,A,48.15,49 kg Women,0,0,506,70,74,-76,74,86,90,-94,90,164
