total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,3,VAGNER Viktoriya,9128,1995-09-10,W,KAZ,A,75.8,+69 kg Women,0,1,173,90,96,98,98,115,-121,-121,115,213
2,2,2,CHUNG Yun-Ling,8183,1994-05-31,W,TPE,A,94.4,+69 kg Women,0,1,173,90,95,97,97,110,116,-119,116,213
3,3,1,SEO Yeun Ju,9755,1996-07-20,W,KOR,A,111.85,+69 kg Women,0,1,173,80,85,87,87,110,117,-122,117,204
NA,NA,NA,WASSANA Chiaram,9237,1995-11-18,W,THA,A,104.95,+69 kg Women,1,1,173,92,-99,99,NA,117,-123,-123,NA,NA
NA,NA,NA,PORNPILAI Nilpetch,8491,1994-11-11,W,THA,A,73.8,+69 kg Women,1,1,173,91,96,98,NA,115,120,125,NA,NA
1,1,1,KOSHELEV Vassiliy,8812,1995-04-02,M,KAZ,A,120.05,+94 kg Men,0,1,173,130,135,138,138,161,168,171,171,309
2,2,2,LEE Yangjae,8973,1995-06-21,M,KOR,A,118.5,+94 kg Men,0,1,173,-130,130,137,137,160,167,170,170,307
3,3,3,KODIROV Zufar,7920,1994-01-29,M,UZB,A,119.95,+94 kg Men,0,1,173,-130,131,136,136,158,163,-171,163,299
4,4,6,MURAKAMI Eishiro,9064,1995-08-08,M,JPN,A,109.45,+94 kg Men,0,1,173,110,117,123,123,-145,145,-150,145,268
5,5,4,RONG Meng Chih,8104,1994-04-22,M,TPE,A,116,+94 kg Men,0,1,173,-115,115,118,118,145,150,-153,150,268
6,6,5,KHOO Jian Peng,8376,1994-09-11,M,MAS,A,133.5,+94 kg Men,0,1,173,110,-115,115,115,145,150,-157,150,265
7,7,7,"NAM Ji Young",9498,1996-03-20,M,KOR,A,96.45,+94 kg Men,0,1,173,100,105,-107,105,125,-130,130,130,235
1,1,1,URAIWAN Kamking,10432,1997-06-02,W,THA,A,43.55,44 kg Women,0,1,173,53,55,60,60,-70,70,71,71,131
2,2,2,CHEN Yi-Hui,8071,1994-04-07,W,TPE,A,43.5,44 kg Women,0,1,173,43,47,54,54,60,66,70,70,124
3,3,3,RESHMA Jahura Akter,11296,1998-07-11,W,BAN,A,43.7,44 kg Women,0,1,173,43,47,-50,47,52,55,60,60,107
1,1,1,CHIANG Meng-Chun,8564,1994-12-27,W,TPE,A,47.55,48 kg Women,0,1,173,57,61,64,64,75,80,85,85,149
2,2,2,MEITRAM Purnima Chanu,11146,1998-05-04,W,IND,A,47.7,48 kg Women,0,1,173,48,50,52,52,60,64,67,67,119
3,3,3,KERIMOVA Melike,8827,1995-04-05,W,TKM,A,47.4,48 kg Women,0,1,173,41,45,48,48,45,50,53,53,101
4,4,4,ZARNIGOR Otakulova,8845,1995-04-15,W,UZB,A,48,48 kg Women,0,1,173,30,35,-40,35,40,46,-50,46,81
1,1,1,KRUAITHONG Sinphet,9089,1995-08-22,M,THA,A,49.4,50 kg Men,0,1,173,91,-101,101,101,113,122,126,126,227
2,2,2,PANRAK Krongrat,8703,1995-02-09,M,THA,A,49.65,50 kg Men,0,1,173,85,87,90,90,105,107,-112,107,197
3,3,3,MIRZAYEV Seyitjan,8122,1994-04-30,M,TKM,A,49.45,50 kg Men,0,1,173,78,82,86,86,96,102,106,106,192
4,4,4,PHONE Myint Naing,8903,1995-05-15,M,MYA,A,49.4,50 kg Men,0,1,173,75,78,-82,78,95,101,105,105,183
5,6,5,HSIEH Shang-Cheng,9573,1996-04-22,M,TPE,A,49.7,50 kg Men,0,1,173,65,68,75,75,92,97,-102,97,172
6,5,6,SAN A Cam,10660,1997-09-12,M,VIE,A,49.45,50 kg Men,0,1,173,67,72,75,75,90,95,-97,95,170
7,7,7,LOITONGBAM Ajit Singh,9309,1995-12-30,M,IND,A,49.45,50 kg Men,0,1,173,70,-75,-75,70,-85,85,88,88,158
8,8,8,MAINAZAROV Islambek,8139,1994-05-06,M,KGZ,A,49.1,50 kg Men,0,1,173,-55,55,60,60,65,70,75,75,135
1,4,1,"NARUEPHON Saenchek",8689,1995-02-04,W,THA,A,50.8,53 kg Women,0,1,173,-65,65,-68,65,88,92,-95,92,157
2,2,2,KRISANI Pramila,9362,1996-01-09,W,IND,A,52.55,53 kg Women,0,1,173,64,68,-70,68,85,-89,89,89,157
3,1,3,PARK Minkyung,10015,1996-12-16,W,KOR,A,51.95,53 kg Women,0,1,173,66,69,70,70,80,83,86,86,156
4,7,4,KHANGEMBAM Bidyabati Chanu,8060,1994-04-02,W,IND,A,52.65,53 kg Women,0,1,173,62,65,-66,65,80,-85,85,85,150
5,5,5,HUNG Tzu-Chun,7848,1994-01-01,W,TPE,A,52.35,53 kg Women,0,1,173,-65,-65,65,65,80,-85,-85,80,145
6,6,6,AKMARAL Nurymova,8359,1994-09-01,W,KAZ,A,52.45,53 kg Women,0,1,173,-60,60,65,65,70,75,-80,75,140
7,8,7,JORAYEVA Aziza,8818,1995-04-03,W,TKM,A,52.5,53 kg Women,0,1,173,47,52,55,55,60,65,68,68,123
8,9,8,KHOSHIMOVA Nurjakhon,9831,1996-09-02,W,UZB,A,51.9,53 kg Women,0,1,173,40,46,50,50,50,55,-60,55,105
NA,3,NA,LIU Wei Ting,8997,1995-07-05,W,TPE,A,52.45,53 kg Women,0,1,173,66,-68,-68,66,-77,-77,-77,NA,NA
1,1,1,THACH Kim Tuan,7890,1994-01-15,M,VIE,A,55.5,56 kg Men,0,1,173,114,-123,127,127,140,150,-154,150,277
2,2,3,KON-NGOEN Arun,7859,1994-01-02,M,THA,A,55.8,56 kg Men,0,1,173,95,100,102,102,125,127,129,129,231
3,3,4,MATKERIMOV Ihtiyor,8095,1994-04-18,M,TKM,A,55.85,56 kg Men,0,1,173,93,98,101,101,121,126,129,129,230
4,4,2,SAISAART Worachet,8246,1994-07-02,M,THA,A,55.3,56 kg Men,0,1,173,95,-99,-99,95,125,130,-135,130,225
5,5,7,MOKHTAR Mohamad Anas Malik Bin,8281,1994-07-24,M,MAS,A,55.3,56 kg Men,0,1,173,95,-98,-98,95,110,115,-118,115,210
6,7,6,YOKUBOV Doston,8825,1995-04-05,M,UZB,A,55.8,56 kg Men,0,1,173,-90,-90,90,90,112,116,119,119,209
7,8,5,CHETIA Apurba,8138,1994-05-06,M,IND,A,55.85,56 kg Men,0,1,173,88,-94,-94,88,113,116,120,120,208
8,6,8,CHEN Hsiao Jung,8211,1994-06-16,M,TPE,A,55.75,56 kg Men,0,1,173,85,90,-92,90,110,-115,115,115,205
9,10,9,SULTANOV Rahmatjan,8523,1994-12-01,M,TKM,A,55.8,56 kg Men,0,1,173,85,-90,-90,85,110,115,-118,115,200
10,11,10,ABDYRAMANOV Syrgak,8503,1994-11-21,M,KGZ,A,55.85,56 kg Men,0,1,173,80,85,-90,85,95,100,106,106,191
11,12,11,MUKHTOROV Yorkinjon,7969,1994-02-15,M,UZB,A,56,56 kg Men,0,1,173,80,83,-86,83,100,103,105,105,188
12,9,12,WAI Yan Phyo,9776,1996-08-02,M,MYA,A,55.65,56 kg Men,0,1,173,-80,80,85,85,95,100,-105,100,185
13,13,13,MAINAZOROV Daulet,9130,1995-09-12,M,KGZ,A,53.65,56 kg Men,0,1,173,75,-80,-80,75,90,95,-100,95,170
1,1,1,DAENGSRI Nawaporn,11264,1998-06-28,W,THA,A,53.1,58 kg Women,0,1,173,67,71,75,75,88,91,96,96,171
2,2,2,YANA Takio,8549,1994-12-16,W,IND,A,57.65,58 kg Women,0,1,173,62,66,-70,66,83,87,90,90,156
3,3,3,CHARYYEVA Durdygul,8932,1995-05-31,W,TKM,A,56.3,58 kg Women,0,1,173,43,47,50,50,50,55,-60,55,105
4,4,4,MIRZAEVA Dilyafruz,9809,1996-08-22,W,UZB,A,55.55,58 kg Women,0,1,173,35,40,42,42,40,45,-50,45,87
1,1,1,MOHAMMED KADHUM Karrar M. J. M. K.,9038,1995-07-25,M,IRQ,A,61.95,62 kg Men,0,1,173,116,120,-123,120,141,145,147,147,267
2,2,2,YOUN Yeowon,9075,1995-08-12,M,KOR,A,60.95,62 kg Men,0,1,173,105,110,116,116,131,134,141,141,257
3,3,3,ZHAKISHOV Ulan,7984,1994-02-22,M,KGZ,A,61.6,62 kg Men,0,1,173,110,-115,115,115,130,-133,133,133,248
4,5,5,CHANG Chih-Hsiang,8526,1994-12-03,M,TPE,A,61.35,62 kg Men,0,1,173,-105,-105,105,105,-130,130,-136,130,235
5,6,4,LIN Chin-Hui,8129,1994-05-03,M,TPE,A,61.35,62 kg Men,0,1,173,-104,-104,104,104,131,-135,-135,131,235
6,4,10,ASHYROV Dayanch,8053,1994-03-30,M,TKM,A,61.85,62 kg Men,0,1,173,105,108,-111,108,120,125,-128,125,233
7,9,6,MIRZAEV Ibrohimjon,8408,1994-09-23,M,UZB,A,61.55,62 kg Men,0,1,173,-100,100,-105,100,120,125,128,128,228
8,10,7,SAHOO Achyutananda,7950,1994-02-08,M,IND,A,61.7,62 kg Men,0,1,173,95,-99,99,99,120,125,128,128,227
9,11,8,HONDA Daichi,8941,1995-06-06,M,JPN,A,61.25,62 kg Men,0,1,173,93,-97,97,97,123,127,-130,127,224
