total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,SHARIFI SEDEH Rashid,2942,1984-09-21,M,IRI,A,137.95,+105 kg Men,0,1,18,180,-190,190,190,220,230,236,236,426
2,2,2,SALEHI SHARAFDARKALAEI Mohammad,2521,1983-05-06,M,IRI,A,135.14,+105 kg Men,0,1,18,-180,180,185,185,216,225,235,235,420
3,3,4,OTA Kazuomi,3639,1986-07-01,M,JPN,A,146.68,+105 kg Men,0,1,18,170,175,-178,175,-210,210,-217,210,385
4,4,3,ALI Mhd,2300,1982-10-03,M,SYR,A,113.86,+105 kg Men,0,1,18,160,167,172,172,-207,210,-215,210,382
5,5,6,WATTHANAKASIKAM Surapong,2495,1983-04-09,M,THA,A,124.69,+105 kg Men,0,1,18,151,158,-161,158,-181,181,-191,181,339
6,6,5,ALSHAMMARI Khalid Abdulla,3698,1986-08-31,M,QAT,A,149.83,+105 kg Men,0,1,18,135,141,145,145,180,190,NA,190,335
7,7,7,AL AHMED Bassam A. E.,4232,1988-01-01,M,KSA,A,109.28,+105 kg Men,0,1,18,115,120,125,125,165,-170,-170,165,290
NA,NA,NA,RUBAIAAWI Ammar Y.,600,1975-02-04,M,IRQ,A,110.5,+105 kg Men,1,1,18,150,166,-171,NA,-180,180,190,NA,NA
1,3,1,SHIMAMOTO Mami,4128,1987-09-24,W,JPN,A,105.58,+75 kg Women,0,1,18,101,106,108,108,133,139,142,142,250
2,2,3,MOONTAR Annipa,2927,1984-09-09,W,THA,A,104.96,+75 kg Women,0,1,18,105,110,-112,110,131,137,-143,137,247
3,1,4,ABORNEVA Alexandra,3748,1986-10-30,W,KAZ,A,93.94,+75 kg Women,0,1,18,100,105,110,110,130,136,-142,136,246
4,5,2,JONAI Fumiko,3112,1985-02-19,W,JPN,A,110.04,+75 kg Women,0,1,18,-96,96,101,101,135,-140,140,140,241
5,4,5,SUESAT Metiya,3554,1986-04-21,W,THA,A,120.32,+75 kg Women,0,1,18,97,102,-107,102,115,126,-131,126,228
6,6,8,GEETA Rani,1965,1981-09-16,W,IND,A,111.22,+75 kg Women,0,1,18,93,-99,99,99,125,-135,-135,125,224
7,7,7,KIM Dong-Ok,1956,1981-09-03,W,KOR,A,103.49,+75 kg Women,0,1,18,95,-100,-100,95,125,-131,-133,125,220
8,8,6,LIU Yun-Chien,4617,1988-10-22,W,TPE,A,84.97,+75 kg Women,0,1,18,90,-97,-97,90,125,-132,-132,125,215
9,9,9,SARANTSETSEG Sukhbaatar,1659,1980-07-26,W,MGL,A,83.74,+75 kg Women,0,1,18,78,-82,82,82,97,103,106,106,188
