total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,birthday,gender,nation,group,bw,category,dq,old_classes,event_id,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,2,1,SAKOVICH Uladzislau,14888,2004-12-13,M,BLR,A,100.15,102 kg Men,0,0,525,143,148,-150,148,170,175,-148,175,323
2,4,2,CAGLAR Taner,14839,2004-10-04,M,TUR,A,101.25,102 kg Men,0,0,525,135,141,145,145,166,-172,172,172,317
3,1,3,KUROUSKI Robert,14824,2004-09-24,M,BLR,A,101.65,102 kg Men,0,0,525,143,-148,149,149,162,167,-149,167,316
4,3,4,ZIOLKOWSKI Szymon,14867,2004-11-09,M,POL,A,101.65,102 kg Men,0,0,525,140,144,148,148,-161,-161,161,161,309
5,5,5,SOKOL Denys,14716,2004-06-05,M,UKR,A,101.75,102 kg Men,0,0,525,120,-125,125,125,150,-160,160,160,285
6,6,6,STRAPEC Simon,14952,2005-04-20,M,SVK,A,99.75,102 kg Men,0,0,525,102,106,110,110,134,-140,-110,134,244
7,7,7,LIIKANEN Otto Aatos,14746,2004-07-14,M,FIN,A,100.35,102 kg Men,0,0,525,-102,102,-107,102,130,-135,-102,130,232
1,1,1,AKARSU Ceren,10834,1997-12-15,W,TUR,A,39.56,40 kg Women,0,0,525,35,41,45,45,45,52,57,57,102
1,1,2,DRZAZGA OLIWIA Weronika,14964,2005-05-17,W,POL,A,44.66,45 kg Women,0,0,525,56,59,61,61,74,-77,77,77,138
2,2,1,ESANOVA Albina,14842,2004-10-06,W,RUS,A,44.42,45 kg Women,0,0,525,55,58,-61,58,73,75,78,78,136
3,3,3,FUENTEFRIA Ruth Sanchez,14871,2004-11-15,W,ESP,A,44.08,45 kg Women,0,0,525,57,-60,-62,57,68,-70,70,70,127
4,4,5,BERLINSKA Zofia,14928,2005-02-22,W,POL,A,44.38,45 kg Women,0,0,525,52,-54,-56,52,60,65,-52,65,117
5,5,4,PICHUHINA Palina,14809,2004-09-11,W,BLR,A,44.48,45 kg Women,0,0,525,-50,50,-53,50,60,65,-50,65,115
6,6,6,RUSEVA Reni,14918,2005-02-04,W,BUL,A,44.66,45 kg Women,0,0,525,43,-48,-51,43,53,57,-43,57,100
1,1,2,ODIKADZE Giga,14926,2005-02-20,M,GEO,A,48.84,49 kg Men,0,0,525,79,82,84,84,94,99,102,102,186
2,2,3,PROKOPEV Oleg,15053,2005-12-07,M,RUS,A,48.72,49 kg Men,0,0,525,83,-85,-85,83,-96,96,101,101,184
3,3,1,DZOBAK Alexandr,14622,2004-02-14,M,CZE,A,48.66,49 kg Men,0,0,525,74,79,-83,79,93,-103,103,103,182
4,4,4,ZELEM Tomasz,15024,2005-09-08,M,POL,A,48.06,49 kg Men,0,0,525,65,70,-75,70,77,-81,81,81,151
1,2,2,BILICIER Medine,14623,2004-02-15,W,TUR,A,48.66,49 kg Women,0,0,525,-68,69,71,71,89,91,-71,91,162
2,3,1,KUTIAKINA Milana,14709,2004-05-18,W,RUS,A,48.8,49 kg Women,0,0,525,69,-71,-72,69,88,-92,92,92,161
3,1,3,BARABANOVA Viktoria,14784,2004-08-21,W,RUS,A,48.62,49 kg Women,0,0,525,69,72,-74,72,87,-90,-72,87,159
4,5,4,DELIA Celine Ludovica,15025,2005-09-09,W,ITA,A,48.98,49 kg Women,0,0,525,63,66,-69,66,-86,-86,86,86,152
5,6,5,BENITEZ ROMERO Lorena,14916,2005-02-03,W,ESP,A,49,49 kg Women,0,0,525,61,64,-66,64,73,-76,-64,73,137
6,7,6,BAIKALOVA Anna,14807,2004-09-10,W,UKR,A,48.82,49 kg Women,0,0,525,58,60,-62,60,68,71,-60,71,131
7,8,7,HORDIIAN Kateryna,14942,2005-03-26,W,UKR,A,48.8,49 kg Women,0,0,525,55,57,59,59,68,71,-59,71,130
8,9,9,FURTH Ela,14775,2004-08-15,W,ISR,A,48.9,49 kg Women,0,0,525,56,-59,-59,56,67,-71,-56,67,123
10,4,0,GRIGORYAN Aleksandra,14901,2005-01-08,W,ARM,A,48.2,49 kg Women,0,0,525,68,-71,-71,68,-90,-92,-68,NA,NA
9,1,1,ESZENYI Fanni,14958,2005-05-01,W,HUN,B,48.4,49 kg Women,0,0,525,45,50,-52,50,67,-71,-50,67,117
1,1,2,ERDOGAN Yasin,14754,2004-07-24,M,TUR,A,54.74,55 kg Men,0,0,525,95,98,100,100,115,-119,119,119,219
2,3,1,YEGHOYAN Meruzhan,14575,2004-01-09,M,ARM,A,54.78,55 kg Men,0,0,525,93,97,-99,97,115,119,-97,119,216
3,2,3,ELIS Mustafa,14995,2005-07-14,M,TUR,A,54.56,55 kg Men,0,0,525,94,97,98,98,115,117,-98,117,215
4,5,4,OKROPIRIDZE Archil,15018,2005-08-31,M,GEO,A,54.6,55 kg Men,0,0,525,90,94,-98,94,111,116,-94,116,210
5,6,5,VESKOV Erdzhan Velinov,14843,2004-10-12,M,BUL,A,54.54,55 kg Men,0,0,525,80,85,90,90,100,105,-90,105,195
6,7,6,VIITASAARI Joona Juhani,14856,2004-10-29,M,FIN,A,54.46,55 kg Men,0,0,525,74,-77,-77,74,93,95,-74,95,169
NA,4,NA,KHUDANYAN Seyran,14768,2004-08-10,M,ARM,A,54.56,55 kg Men,0,0,525,-92,96,-98,96,-113,-113,-113,NA,NA
1,1,1,KHRYSTSINA Krachava,14831,2004-09-28,W,BLR,A,54.6,55 kg Women,0,0,525,72,75,78,78,90,94,98,98,176
2,3,3,LENVIK Ronja,14663,2004-04-07,W,NOR,A,54.26,55 kg Women,0,0,525,73,76,-78,76,-89,-89,89,89,165
3,2,4,VANDENABEELE Annelien,14879,2004-11-26,W,BEL,A,54.46,55 kg Women,0,0,525,73,76,-78,76,88,-90,-76,88,164
4,5,2,MICHEL Maelyn,14634,2004-02-25,W,FRA,A,54.52,55 kg Women,0,0,525,68,71,73,73,85,-89,89,89,162
5,4,5,MAISURADZE Mariam,14946,2005-04-01,W,GEO,A,53.26,55 kg Women,0,0,525,66,70,73,73,81,85,-73,85,158
6,6,6,"NAEVDAL Sandra",14936,2005-03-13,W,NOR,A,54.26,55 kg Women,0,0,525,-68,-68,68,68,-76,76,80,80,148
7,7,7,THORNTON Tenishia,15019,2005-09-01,W,MLT,A,53.4,55 kg Women,0,0,525,60,61,63,63,76,78,80,80,143
8,8,9,PONIATOWSKA Nina,15047,2005-11-18,W,POL,A,54.42,55 kg Women,0,0,525,57,-60,60,60,-72,72,76,76,136
9,9,8,LYDESTAD Luna Ohm,14848,2004-10-17,W,DEN,A,54.74,55 kg Women,0,0,525,57,-60,-63,57,68,71,77,77,134
10,10,10,KOZLOVA Karolina,14965,2005-05-17,W,CZE,A,53,55 kg Women,0,0,525,53,56,-59,56,64,-68,68,68,124
