event_id,event,date,city,iso_code,age_group,is_olympics,is_university,country
2,3rd WEST ASIAN GAMES,2005-12-02,Doha,QAT,senior,0,0,Qatar
3,74th MEN's and 17th WOMEN's CENTENNIAL WORLD CHAMPIONSHIPS,2005-11-08,Doha,QAT,senior,0,0,Qatar
4,XXVIII OLYMPIC GAMES,2004-08-14,Athens,GRE,senior,1,0,NA
5,31st MEN's and 11th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2005-05-17,Busan,KOR,junior,0,0,"Korea, Republic of"
6,32nd MEN's and 12th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2006-05-28,Hangzhou,CHN,junior,0,0,China
7,9th UNIVERSITY WORLD CUP,2006-06-30,IZMIR,TUR,junior,0,1,Turkey
8,75th MEN's and 18th WOMEN's WORLD CHAMPIONSHIPS,2006-09-30,Santo Domingo,DOM,senior,0,0,Dominican Republic
9,33rd MEN's and 13th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2007-06-10,Prague,CZE,junior,0,0,Czech Republic
10,10th UNIVERSITY WORLD CUP,2007-08-09,LIMA,PER,junior,0,1,Peru
11,76th MEN's and 19th WOMEN's WORLD CHAMPIONSHIPS,2007-09-14,Chiang Mai,THA,senior,0,0,Thailand
12,IWF WORLD CUP,2007-11-26,Apia,SAM,senior,0,0,NA
13,OLYMPIC TEST EVENT,2008-01-22,Beijing,CHN,senior,0,0,China
14,2008 PAN-AMERICAN CHAMPIONSHIPS,2008-03-18,CALLAO,PER,senior,0,0,Peru
16,OCEANIA SENIOR CHAMPIONSHIPS 2008,2008-03-27,AUCKLAND,NZL,senior,0,0,New Zealand
17,EUROPEAN CHAMPIONSHIPS,2008-04-11,Lignano-Sabbiadoro,ITA,senior,0,0,Italy
18,39th MEN'S and 20th WOMEN'S ASIAN CHAMPIONSHIPS,2008-04-26,KANAZAWA,JPN,senior,0,0,Japan
19,19th MEN and 8th WOMEN AFRICAN CHAMPIONSHIPS,2008-05-10,STRAND,RSA,senior,0,0,NA
20,34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2008-06-12,Cali,COL,junior,0,0,Colombia
21,XXIX OLYMPIC GAMES,2008-08-09,Beijing,CHN,senior,1,0,China
22,1st FISU WORLD UNIVERSITY CHAMPIONSHIPS,2008-11-25,KOMOTINI,GRE,junior,0,1,NA
23,2009 IWF YOUTH WORLD CHAMPIONSHIPS,2009-05-19,Chiangmai,THA,youth,0,0,Thailand
24,2009 PAN-AMERICAN CHAMPIONSHIPS,2009-06-03,CHICAGO,USA,senior,0,0,United States
25,35th MEN's and 15th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2009-06-14,Bucharest,ROU,junior,0,0,Romania
41,77th MEN's and 20th WOMEN's WORLD CHAMPIONSHIPS,2009-11-19,Goyang,KOR,senior,0,0,"Korea, Republic of"
42,37th EUROPEAN UNION CHAMPIONSHIPS,2009-03-18,Ciechanow,POL,senior,0,0,Poland
43,21st ASIAN SENIOR WOMEN'S 40th ASIAN SENIOR MEN'S CHAMPIONSHIPS,2009-05-09,Taldykorgan,KAZ,senior,0,0,Kazakhstan
44,MEDITERRANEAN GAMES,2009-06-26,Pescara,ITA,senior,0,0,Italy
45,"AFRICAN YOUTH (1st MEN, 1st WOMEN) CHAMPIONSHIPS",2009-07-31,Kampala,UGA,youth,0,0,Uganda
46,"AFRICAN JUNIOR (15th MEN, 10th WOMEN) CHAMPIONSHIPS",2009-07-31,KAMPALA,UGA,junior,0,0,Uganda
47,"AFRICAN SENIOR (20th MEN, 9th WOMEN) CHAMPIONSHIPS",2009-07-31,Kampala,UGA,senior,0,0,Uganda
48,European Championships,2009-04-04,Bucharest,ROU,senior,0,0,Romania
49,31st EUROPEAN SMALL NATIONS TOURNAMENT,2009-05-01,Malta,MLT,senior,0,0,Malta
50,2nd MONIQUE MAURICE CHALLENGE,2009-09-26,Villeneuve-Loubet,FRA,senior,0,0,France
51,6th INTERNL. ELEIKO AUSTRIA WOMEN'S TOURNAMENT,2009-05-21,Lochen,AUT,senior,0,0,Austria
52,XXVII LAUGARICIO CUP,2009-09-04,Trencin,SVK,senior,0,0,Slovakia
53,EUROPEAN U23 CHAMPIONSHIPS,2009-10-11,Wladyslawowo,POL,senior,0,0,Poland
54,2009 COMMONWEALTH CHAMPIONSHIPS,2009-10-19,Penang,MAS,senior,0,0,NA
55,2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS,2009-10-19,Penang,MAS,junior,0,0,NA
56,OCEANIA & SOUTH PACIFIC SENIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,Darwin,AUS,senior,0,0,Australia
57,OCEANIA & SOUTH PACIFIC JUNIOR CHAMPIONSHIPS AND ARAFURA GAMES,2009-05-12,Darwin,AUS,junior,0,0,Australia
58,7th DENIS RANDON TOURNAMENT,2009-12-05,Montpellier,FRA,senior,0,0,France
59,2009 PACIFIC MINI GAMES,2009-09-29,Rarotonga,COK,senior,0,0,Cook Islands
60,EUROPEAN YOUTH CHAMPIONSHIPS,2009-09-06,Eilat,ISR,youth,0,0,Israel
61,PAN-AMERICAN YOUTHCHAMPIONSHIPS,2009-10-20,Puerto Rico,PUR,youth,0,0,NA
62,14th JUNIOR WOMEN & 22nd JUNIOR MEN ASIAN CHAMPIONSHIPS,2009-12-16,Dubai,UAE,junior,0,0,NA
63,5th EAST ASIAN GAMES,2009-12-07,Hong Kong,HKG,senior,0,0,Hong Kong
64,SOUTHEAST ASIAN GAMES,2009-12-10,Vientiane,LAO,senior,0,0,Lao People's Democratic Republic
66,8th JUNIOR GCC CHAMPIONSHIPS,2009-07-01,Fujairah,UAE,junior,0,0,NA
68,9th SENIOR GCC CHAMPIONSHIPS,2009-07-01,Fujairah,UAE,senior,0,0,NA
70,EUROPEAN JUNIOR CHAMPIONSHIPS,2009-07-25,Landskrona,SWE,junior,0,0,Sweden
71,XXVII OLYMPIC GAMES,2000-09-16,Sydney,AUS,senior,1,0,Australia
72,EUROPEAN CHAMPIONSHIPS,2010-04-02,Minsk,BLR,senior,0,0,Belarus
73,12th ASIAN YOUTH WEIGHTLIFTING CHAMPIONSHIPS,2010-04-08,Tashkent,UZB,youth,0,0,Uzbekistan
74,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS,2010-03-21,CAIRO,EGY,youth,0,0,Egypt
75,AFRICAN JUNIOR CHAMPIONSHIPS,2010-03-21,KAIRO,EGY,junior,0,0,Egypt
76,PAN-AMERICAN JUNIOR CHAMPIONSHIPS,2010-04-06,Quito,ECU,junior,0,0,Ecuador
78,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA,2010-04-20,Chiclayo,PER,youth,0,0,Peru
79,OLYMPIC TEST EVENT,2000-03-25,Sydney,AUS,senior,0,0,Australia
81,3rd UNIVERSITY WORLD CUP,2000-06-09,Montreal,CAN,junior,0,1,Canada
83,OCEANIA SENIOR CHAMPIONSHIPS,2010-05-04,Suva,FIJ,senior,0,0,NA
84,OCEANIA JUNIOR CHAMPIONSHIPS,2010-05-04,Suva,FIJ,junior,0,0,NA
85,OCEANIA YOUTH CHAMPIONSHIPS,2010-05-04,Suva,FIJ,youth,0,0,NA
86,IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR EUROPE,2010-05-18,Valencia,ESP,youth,0,0,Spain
89,71st MEN's and 14th WOMEN's WORLD CHAMPIONSHIPS,2001-11-04,Antalya,TUR,senior,0,0,Turkey
91,72nd MEN's and 15th WOMEN's WORLD CHAMPIONSHIPS,2002-11-18,Warsaw,POL,senior,0,0,Poland
93,36th MEN's and 16th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2010-06-11,Sofia,BUL,junior,0,0,NA
94,73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS,2003-11-14,Vancouver,CAN,senior,0,0,Canada
96,69th MEN's and 12th WOMEN's WORLD CHAMPIONSHIPS,1998-11-10,Lahti,FIN,senior,0,0,Finland
98,2nd FISU WORLD UNIVERSITY CHAMPIONSHIPS,2010-07-01,Taichung,TPE,junior,0,1,NA
99,70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS,1999-11-21,Athens,GRE,senior,0,0,NA
105,2010 PAN AMERICAN CHAMPIONSHIPS,2010-05-25,Guatemala,GUA,senior,0,0,NA
107,1st YOUTH OLYMPIC GAMES,2010-08-14,Singapore,SIN,youth,0,0,NA
